0,1,2,3,4,5,6,7
178.21669643416166,0.03799998760223389,2.741405380354422,16.0,0.0,0.6249755024909973,0.6362337470054626,-0.04597055912017822
178.21669643416166,0.03250002861022949,2.741405380354422,16.0,0.0,0.6249755024909973,0.6362337470054626,-0.04597055912017822
178.41602585260702,0.02333335081736247,2.4275471143445295,15.666666666666666,0.0,0.6250864267349243,0.634545087814331,-0.05819167196750641
178.51569056182967,0.027000010013580322,2.2706179813395835,15.5,0.29899412766802413,0.6250864267349243,0.634545087814331,-0.05819167196750641
178.76817757621643,0.023800015449523926,1.9034651738887873,15.4,0.5714164509705,0.6261488795280457,0.6306025981903076,-0.04793575033545494
178.93650225247427,0.024166683355967205,1.6586966355882566,15.333333333333334,0.6432443420294993,0.6261488795280457,0.6306025981903076,-0.04793575033545494
178.8375437557504,0.023714303970336914,1.768809090265567,15.285714285714286,0.642970409496809,0.6265383958816528,0.6307957172393799,-0.05728548765182495
178.76332488320747,0.025375008583068848,1.85139343127355,15.25,0.6326876530668311,0.6265383958816528,0.6307957172393799,-0.05728548765182495
178.62176980717706,0.025749996304512024,2.2074299995836775,15.375,0.8338552671317058,0.62652987241745,0.6312834620475769,-0.06326540559530258
178.4802147311466,0.024249985814094543,2.563466567893805,15.5,0.9748127346333711,0.62652987241745,0.6312834620475769,-0.06326540559530258
178.01393373748408,0.029249995946884155,3.017859435582455,15.625,1.4697862612976704,0.6279086470603943,0.6317307353019714,-0.07788358628749847
177.54765274382152,0.030125007033348083,3.4722523032711052,15.75,1.7133147726245574,0.6279086470603943,0.6317307353019714,-0.07788358628749847
176.88161039302952,0.03312501311302185,4.400925220219257,14.75,1.7520147223821985,0.6289288401603699,0.6320663094520569,-0.07916565984487534
176.21556804223746,0.0298750102519989,5.329598137167409,13.75,1.521985163757266,0.6289288401603699,0.6320663094520569,-0.07916565984487534
175.8349745619106,0.031000003218650818,5.362619990775112,12.125,1.336615277259801,0.6297480463981628,0.633048951625824,-0.0780373141169548
175.4543810815837,0.027000010013580322,5.395641844382816,10.5,0.9833306491596384,0.6297480463981628,0.633048951625824,-0.0780373141169548
175.4791724242894,0.023125022649765015,4.738389211004495,9.75,1.0256973271862948,0.6315818428993225,0.6330735683441162,-0.08144640922546387
175.50396376699513,0.02362501621246338,4.081136577626175,9.0,1.0658056234938897,0.6315818428993225,0.6330735683441162,-0.08144640922546387
175.7742891873553,0.020875006914138794,3.7804982379893204,8.75,1.191912252465939,0.637614905834198,0.6367869973182678,-0.07956086099147797
176.04461460771546,0.020500004291534424,3.4798598983524656,8.5,1.2486858461197756,0.637614905834198,0.6367869973182678,-0.07956086099147797
176.576951493302,0.021749988198280334,2.6380844065233973,9.75,1.3582794091720036,0.6433921456336975,0.6485400795936584,-0.07860134541988373
177.10928837888855,0.025624990463256836,1.796308914694329,11.0,1.2505456588823292,0.6433921456336975,0.6485400795936584,-0.07860134541988373
176.86403125260665,0.02399998903274536,2.840929355248484,13.375,1.7093634742414578,0.6479913592338562,0.6518778204917908,-0.07777057588100433
176.61877412632475,0.028374984860420227,3.885549795802639,15.75,2.039529458774275,0.6479913592338562,0.6518778204917908,-0.07777057588100433
175.8543404466148,0.030374988913536072,4.928402550685984,16.75,2.689853377741068,0.6528205871582031,0.6583437323570251,-0.06724049896001816
175.08990676690485,0.03450000286102295,5.971255305569329,17.75,3.0236111312356697,0.6528205871582031,0.6583437323570251,-0.06724049896001816
175.05721675953106,0.03762499988079071,6.0794650222013935,17.125,3.001444872003364,0.6548395156860352,0.658063530921936,-0.05194203183054924
175.02452675215724,0.036125004291534424,6.187674738833458,16.5,2.978754956899633,0.6548395156860352,0.658063530921936,-0.05194203183054924
174.68063569655672,0.0337500125169754,6.609746813921383,15.0,2.677134670243453,0.6540483236312866,0.6604843735694885,-0.042672883719205856
174.3367446409562,0.034750014543533325,7.031818889009308,13.5,2.2857377093054287,0.6540483236312866,0.6604843735694885,-0.042672883719205856
174.75984364234398,0.03750002384185791,5.939729076220658,11.25,2.3552227690608745,0.6536861658096313,0.6596555709838867,-0.07100077718496323
175.1829426437318,0.03912504017353058,4.847639263432008,9.0,2.3476639832211967,0.6536861658096313,0.6596555709838867,-0.07100077718496323
175.86347188796094,0.042500048875808716,3.8390111686147357,7.125,1.8131721209201634,0.6531739830970764,0.6594486236572266,-0.08722995221614838
176.5440011321901,0.04150004684925079,2.8303830737974636,5.25,0.3707020333745659,0.6531739830970764,0.6594486236572266,-0.08722995221614838
176.5561474553803,0.0413750559091568,2.3793423288505338,4.5,0.3862361874738466,0.6523218750953674,0.6583718657493591,-0.09402237832546234
176.5682937785705,0.041875049471855164,1.928301583903604,3.75,0.4008013487334404,0.6523218750953674,0.6583718657493591,-0.09402237832546234
176.7653887724461,0.045750051736831665,1.406264264701182,3.5,0.4378815177784576,0.652177095413208,0.6577422022819519,-0.08976514637470245
176.9624837663217,0.04687504470348358,0.8842269454987601,3.25,0.38098012133934483,0.652177095413208,0.6577422022819519,-0.08976514637470245
177.16083452018276,0.04687504470348358,0.7009821267679506,3.375,0.53421838197936,0.6514297723770142,0.6577421426773071,-0.08394209295511246
177.35918527404382,0.043500036001205444,0.517737308037141,3.5,0.5890217850971617,0.6514297723770142,0.6577421426773071,-0.08394209295511246
177.5640492968227,0.03900003433227539,0.6632605203989677,3.375,0.5782066213036383,0.6510952711105347,0.6592350602149963,-0.09874468296766281
177.76891331960158,0.036750033497810364,0.8087837327607943,3.25,0.4876070086262138,0.6510952711105347,0.6592350602149963,-0.09874468296766281
177.8620044732317,0.03525003790855408,1.1014132928567406,3.125,0.41310992645266775,0.6491537094116211,0.6589192748069763,-0.10133716464042664
177.95509562686186,0.03587503731250763,1.394042852952687,3.0,0.2936445164440697,0.6491537094116211,0.6589192748069763,-0.10133716464042664
178.04741545984132,0.031375035643577576,1.5715625001012974,2.625,0.26107039013910116,0.6487227082252502,0.6588243246078491,-0.09930185228586197
178.13973529282075,0.02912503480911255,1.7490821472499078,2.25,0.1817759391514439,0.6487227082252502,0.6588243246078491,-0.09930185228586197
178.14510476008877,0.02912503480911255,1.9702946990325216,1.875,0.18434666571926023,0.6487115025520325,0.6600257754325867,-0.10124226659536362
178.15047422735677,0.032375022768974304,2.1915072508151354,1.5,0.18672769454942476,0.6487115025520325,0.6600257754325867,-0.10124226659536362
178.18027530666956,0.03662501275539398,2.2382229131825824,1.125,0.21686771155805426,0.6486613154411316,0.6605530381202698,-0.09989359974861145
178.21007638598235,0.03862501680850983,2.2849385755500293,0.75,0.23962422261678298,0.6486613154411316,0.6605530381202698,-0.09989359974861145
178.23765500377812,0.04062500596046448,2.228763174839713,0.625,0.2040528190266415,0.6486860513687134,0.6610742211341858,-0.08985237032175064
178.26523362157388,0.042750000953674316,2.172587774129397,0.5,0.15599415861400345,0.6486860513687134,0.6610742211341858,-0.08985237032175064
178.26324325363242,0.04649999737739563,2.173960600476928,0.75,0.15598813392862806,0.6486378908157349,0.6609632968902588,-0.08498285710811615
178.26125288569096,0.04862499237060547,2.1753334268244586,1.0,0.15595670938531472,0.6486378908157349,0.6609632968902588,-0.08498285710811615
178.23482227688677,0.051249995827674866,2.122472209216106,1.125,0.17241194776876587,0.6488990187644958,0.6608878970146179,-0.08984892070293427
178.20839166808258,0.0533750057220459,2.069610991607753,1.25,0.18366303411689833,0.6488990187644958,0.6608878970146179,-0.08984892070293427
178.12390343533693,0.052750006318092346,2.132865021882381,1.5,0.19062837510655622,0.6490152478218079,0.6608229279518127,-0.08821826428174973
178.03941520259127,0.054875001311302185,2.196119052157009,1.75,0.15706597895640856,0.6490152478218079,0.6608229279518127,-0.08821826428174973
177.98268092623275,0.054875001311302185,2.4194964874899085,2.0,0.2149919222317145,0.6497308015823364,0.6611536741256714,-0.08710583299398422
177.92594664987422,0.05425000190734863,2.642873922822808,2.25,0.24766060501498616,0.6497308015823364,0.6611536741256714,-0.08710583299398422
177.84033026387831,0.05475001037120819,2.80458557704549,2.375,0.23664891084252732,0.6509543061256409,0.6615015268325806,-0.08067261427640915
177.7547138778824,0.05475001037120819,2.9662972312681717,2.5,0.18976118577708412,0.6509543061256409,0.6615015268325806,-0.08067261427640915
177.722813191715,0.053125008940696716,3.0187879787621377,2.625,0.1578767238838799,0.6512624025344849,0.6616528630256653,-0.08248091489076614
177.6909125055476,0.04987500607967377,3.0712787262561037,2.75,0.10865313941706224,0.6512624025344849,0.6616528630256653,-0.08248091489076614
177.63168167866363,0.04937499761581421,3.1817116336624203,2.875,0.14808298230857378,0.6516811847686768,0.66473788022995,-0.0752217248082161
177.57245085177968,0.04512499272823334,3.292144541068737,3.0,0.15822469114176224,0.6516811847686768,0.66473788022995,-0.0752217248082161
177.79322602441883,0.042374998331069946,2.848695684526639,2.75,0.6130407123850297,0.6520060896873474,0.6683675646781921,-0.07239339500665665
178.014001197058,0.041749998927116394,2.4052468279845414,2.5,0.7931704882863982,0.6520060896873474,0.6683675646781921,-0.07239339500665665
177.80454939859254,0.03949998319149017,2.939159944778371,2.125,1.0589815509162301,0.6520946025848389,0.6691380739212036,-0.07312795519828796
177.59509760012713,0.03624999523162842,3.473073061572201,1.75,1.2353235669704483,0.6520946025848389,0.6691380739212036,-0.07312795519828796
177.2163140712995,0.030874982476234436,4.340595248046739,1.375,1.5448564851846744,0.652190089225769,0.6703392267227173,-0.08221089839935303
176.8375305424719,0.025999978184700012,5.208117434521277,1.0,1.7205187825477293,0.652190089225769,0.6703392267227173,-0.08221089839935303
176.63705300527846,0.022749990224838257,5.825958020901162,0.75,1.743699849595317,0.6548351049423218,0.6735188961029053,-0.09074587374925613
176.43657546808504,0.020249992609024048,6.443798607281046,0.5,1.7436774254487697,0.6548351049423218,0.6735188961029053,-0.09074587374925613
176.19244774910715,0.01874999701976776,7.03202467472444,0.5,1.4247939749518215,0.6598110198974609,0.6750116944313049,-0.08880821615457535
175.94832003012928,0.01874999701976776,7.620250742167833,0.5,0.948929971995663,0.6598110198974609,0.6750116944313049,-0.08880821615457535
176.10898392752821,0.0208749920129776,6.784865602779128,0.625,1.0317033827121334,0.6595748662948608,0.6747608780860901,-0.08271452784538269
176.26964782492712,0.023874983191490173,5.949480463390422,0.75,1.0847718065071574,0.6595748662948608,0.6747608780860901,-0.08271452784538269
176.03680301226416,0.030999988317489624,6.193776962797216,0.875,1.5039209123069928,0.6597170233726501,0.675037682056427,-0.057874515652656555
175.80395819960117,0.036500006914138794,6.4380734622040094,1.0,1.7995535377386442,0.6597170233726501,0.675037682056427,-0.057874515652656555
174.91232900599354,0.044499993324279785,8.11028577548068,0.875,2.987675482413545,0.6610689163208008,0.6758435964584351,-0.04300103709101677
174.02069981238589,0.056624993681907654,9.78249808875735,0.75,3.608879521881487,0.6610689163208008,0.6758435964584351,-0.04300103709101677
172.73959487780294,0.06574998795986176,11.989952120280982,1.5,3.9793593745902105,0.6662062406539917,0.6756936311721802,-0.0496596097946167
171.45848994322,0.07149998843669891,14.197406151804614,2.25,3.9197105701820423,0.6662062406539917,0.6756936311721802,-0.0496596097946167
170.35782637307264,0.078249990940094,16.055247878682305,4.125,3.353520982788354,0.6815595030784607,0.6771785616874695,-0.04738198220729828
